#Taxa	detected	Number_of_reads	proportion_estimate	85%_confidence_interval_lower_bound	85%_confidence_interval_higher_bound	95%_confidence_interval_lower_bound	95%_confidence_interval_higher_bound
Reticulitermes	no	1	0	0	0	0	0
Rhacophoridae	no	0	0	0	0	0	0
Rhinolophus	no	2	0	0	0	0	0
Rodentia	no	0	0	0	0	0	0
Ruminantia	no	1	0	0	0	0	0
Salamandridae	no	0	0	0	0	0	0
Sarcophaga	no	51	0	0	0	0	0
Saturniidae	no	4	0	0	0	0	0
Satyrini	no	0	0	0	0	0	0
Scandentia	no	0	0	0	0	0	0
Scarabaeiformia	no	4	0	0	0	0	0
Sciaroidea	no	2	0	0	0	0	0
Scincidae	no	0	0	0	0	0	0
Sciurinae	no	77	0	0	0	0	0
Setisura	no	0	0	0	0	0	0
Silphidae	no	1	0	0	0	0	0
Sinopodisma	no	0	0	0	0	0	0
Smerinthinae	no	2	0	0	0	0	0
Sorex	no	3	0	0	0	0	0
Sphenisciformes	no	0	0	0	0	0	0
Staphyliniformia	no	4	0	0	0	0	0
Stratiomyidae	no	3	0	0	0	0	0
Strepsirrhini	no	0	0	0	0	0	0
Sturnidae	no	1	0	0	0	0	0
Suina	no	2	0	0	0	0	0
Sylvioidea	no	1	0	0	0	0	0
Syrphidae	no	6	0	0	0	0	0
Syrphinae	no	9	0	0	0	0	0
Tabaninae	no	3	0	0	0	0	0
Tarsiiformes	no	2	0	0	0	0	0
Tenthredinidae	no	1	0	0	0	0	0
Tephritidae	no	11	0	0	0	0	0
Termitidae	no	0	0	0	0	0	0
Termitinae	no	1	0	0	0	0	0
Testudines	no	1	0	0	0	0	0
Testudinoidea	no	2	0	0	0	0	0
Tetrigoidea	no	0	0	0	0	0	0
Tettigoniidea	no	0	0	0	0	0	0
Tettigonioidea	no	2	0	0	0	0	0
Thraupidae	no	1	0	0	0	0	0
Thripidae	no	0	0	0	0	0	0
Tinamiformes	no	0	0	0	0	0	0
Tingoidea	no	0	0	0	0	0	0
Tipuloidea	no	2	0	0	0	0	0
Tortricidae	no	5	0	0	0	0	0
Toxicofera	no	0	0	0	0	0	0
Trachypithecus	no	0	0	0	0	0	0
Turdus	no	0	0	0	0	0	0
Tylopoda	no	0	0	0	0	0	0
Typhlatya	no	0	0	0	0	0	0
Tyrannidae	no	0	0	0	0	0	0
Unipeltata	no	0	0	0	0	0	0
Ursidae	yes	1617	0.101247	0.0912313	0.112286	0.0857976	0.119282	
Vermilingua	no	0	0	0	0	0	0
Vespoidea	no	0	0	0	0	0	0
Viperidae	no	8	0	0	0	0	0
Xanthoidea	no	0	0	0	0	0	0
Xenopus	no	0	0	0	0	0	0
Xerinae	yes	205	0.0128138	0.0114459	0.0143074	0.0107392	0.0153091
Yponomeutoidea	no	0	0	0	0	0	0
Zygaenidae	no	0	0	0	0	0	0
Zygentoma	no	0	0	0	0	0	0
