k,w,tool,damage_level,read_length,subsampling_rate,mito_correct,mito_incorrect,mito_mapped,mito_unmapped,bacteria_mapped,bacteria_unmapped,numt_mapped,numt_unmapped,precision,sensitivity,specificity,f1,accuracy,TP,FP,TN,FN
29,11,SAFARI,Mid,125,0.35,30917,62,30917,4032,1,35004,8,121,0.9997089827329755,0.8830653223272685,0.9997438378778392,0.9377739357265268,0.9415068786085965,30917,9,35125,4094
29,11,vg giraffe,Mid,125,0.3,26184,51,26184,3651,0,29881,4,109,0.999847258286238,0.8761292913069665,0.9998666399946656,0.9339087634197668,0.9381095524382097,26184,4,29990,3702
29,11,SAFARI,Mid,125,0.3,26369,52,26369,3465,1,29880,7,106,0.9996967054630929,0.8823194806933012,0.9997332799893311,0.9373478129498961,0.9411322645290581,26369,8,29986,3517
29,11,vg giraffe,Mid,125,0.45,39695,74,39695,5487,0,45251,10,156,0.9997481425513159,0.8771212656885274,0.9997798181297752,0.934428737891503,0.9385594388627265,39695,10,45407,5561
29,11,SAFARI,Mid,125,0.45,39973,75,39973,5208,1,45250,13,153,0.9996498862130192,0.8832640975782217,0.9996917453816853,0.9378600002346233,0.9415812866013036,39973,14,45403,5283
29,11,vg giraffe,Mid,125,0.4,35134,63,35134,4846,0,40038,10,138,0.9997154564079217,0.877406787703219,0.9997511571193948,0.9345764560362829,0.9386880055840158,35134,10,40176,4909
29,11,SAFARI,Mid,125,0.4,35381,64,35381,4598,1,40037,13,135,0.9996044639073316,0.8835751567065405,0.9996516199671528,0.9380153238420956,0.9417168355582146,35381,14,40172,4662
29,11,vg giraffe,Mid,125,0.55,48589,90,48589,6659,0,55335,11,187,0.9997736625514403,0.8780404062307998,0.9998019195793492,0.9349612268852584,0.9390282400266977,48589,11,55522,6749
29,11,SAFARI,Mid,125,0.55,48928,91,48928,6319,1,55334,15,183,0.9996730957829356,0.88416639560519,0.999711883024508,0.938378627183982,0.9420407500608816,48928,16,55517,6410
29,11,vg giraffe,Mid,125,0.5,44205,84,44205,6093,0,50377,11,172,0.9997512212773657,0.8773966892937954,0.9997824367088608,0.934586354891224,0.9386974698341622,44205,11,50549,6177
29,11,SAFARI,Mid,125,0.5,44511,85,44511,5786,1,50376,14,169,0.9996631181781431,0.8834702870072645,0.9997033227848101,0.937982045770641,0.9416892869172396,44511,15,50545,5871
29,11,vg giraffe,Mid,125,0.65,57458,107,57458,7897,0,65457,13,230,0.9997737989594753,0.8777305917937124,0.9998021308980213,0.9347856149284569,0.9388771137982037,57458,13,65687,8004
29,11,SAFARI,Mid,125,0.65,57860,108,57860,7494,1,65456,19,224,0.9996544574982723,0.883871559072439,0.9996955859969558,0.9382043423975613,0.9418886567755905,57860,20,65680,7602
29,11,vg giraffe,Mid,125,0.6,52980,94,52980,7284,0,60355,12,204,0.9997735507246377,0.8777626826601279,0.9998018853906985,0.9348037053374504,0.9388897617610333,52980,12,60559,7378
29,11,SAFARI,Mid,125,0.6,53352,95,53352,6911,1,60354,17,199,0.9996627318718381,0.8839259087444912,0.9997028280860478,0.9382386043894203,0.9419163310702975,53352,18,60553,7006
29,11,vg giraffe,Mid,125,0.75,66186,126,66186,9101,0,75406,15,264,0.99977341731998,0.8776470900242663,0.9998018101341085,0.9347380908667221,0.9388343988669605,66186,15,75670,9227
29,11,SAFARI,Mid,125,0.75,66650,127,66650,8636,1,75405,22,257,0.9996550327718867,0.8837998753530558,0.9996961088722996,0.9381642104077812,0.9418523077737627,66650,23,75662,8763
29,11,vg giraffe,Mid,125,0.7,61855,118,61855,8516,0,70482,15,248,0.9997575561661548,0.8775128034161358,0.9997879708813344,0.9346549913492849,0.9387612048090404,61855,15,70730,8634
29,11,SAFARI,Mid,125,0.7,62290,119,62290,8080,1,70481,21,242,0.9996469379894724,0.8836839790605626,0.9996890239592904,0.9380953456675778,0.9417916365747625,62290,22,70723,8199
29,11,vg giraffe,Mid,125,0.85,74816,134,74816,10341,0,85280,17,308,0.9997728274958908,0.8771851660784843,0.9998014134688394,0.9344757812695161,0.9386059357738039,74816,17,85588,10475
29,11,SAFARI,Mid,125,0.85,75352,136,75352,9803,1,85279,26,299,0.9996418100531979,0.883469533713991,0.9996845978622744,0.9379722412398083,0.9416838311019567,75352,27,85578,9939
29,11,vg giraffe,Mid,125,0.8,70480,129,70480,9690,0,80290,15,286,0.9997872189516988,0.8777195232817345,0.999813874998449,0.9347852036553179,0.938877493939959,70480,15,80576,9819
29,11,SAFARI,Mid,125,0.8,70978,131,70978,9190,1,80289,23,278,0.999661981352638,0.8839213439768864,0.9997021999975183,0.9382357023416896,0.9419168375909006,70978,24,80567,9321
29,11,vg giraffe,Mid,125,0.95,83527,142,83527,11549,0,95203,17,342,0.9997965144115676,0.877218593123149,0.9998221050208241,0.9345050961613766,0.938630883740434,83527,17,95545,11691
29,11,SAFARI,Mid,125,0.95,84125,144,84125,10949,1,95202,26,333,0.9996791520106474,0.8834989182717553,0.9997174609154267,0.9380052405641969,0.941712967816333,84125,27,95535,11093
29,11,vg giraffe,Mid,125,0.9,79154,138,79154,10946,0,90226,17,323,0.999785274911268,0.8771692635031805,0.9998122915884549,0.9344721945115075,0.9386020220791575,79154,17,90549,11084
29,11,SAFARI,Mid,125,0.9,79720,140,79720,10378,1,90225,26,314,0.9996614292700666,0.8834415656375363,0.9997018748757812,0.9379651145689325,0.9416771752837326,79720,27,90539,10518
29,11,vg giraffe,None,125,0.15,13611,27,13611,1320,0,14956,2,54,0.9998530816131639,0.9099478539911753,0.9998667732480682,0.9527842917643765,0.9549883216549884,13611,2,15010,1347
29,11,SAFARI,None,125,0.15,13612,27,13612,1319,0,14956,3,53,0.9997796547925083,0.9100147078486429,0.9998001598721024,0.9527875966821825,0.9549883216549884,13612,3,15009,1346
29,11,vg giraffe,None,125,0.1,9124,19,9124,871,0,10014,2,32,0.9997808459346921,0.9111244258038745,0.9998009554140127,0.9533960292580983,0.9555378327185724,9124,2,10046,890
29,11,SAFARI,None,125,0.1,9125,19,9125,870,0,10014,3,31,0.9996713409290097,0.9112242859996006,0.9997014331210191,0.9534008985476962,0.9555378327185724,9125,3,10045,889
29,11,vg giraffe,None,125,0.25,22715,43,22715,2230,0,24986,2,94,0.9999119602060131,0.9090363374419721,0.9999202615421418,0.9523110785033015,0.9545636109446775,22715,2,25080,2273
29,11,SAFARI,None,125,0.25,22717,43,22717,2228,0,24986,4,92,0.9998239514105893,0.909116375860413,0.9998405230842835,0.9523150768198873,0.9545636109446775,22717,4,25078,2271
29,11,vg giraffe,None,125,0.2,18084,36,18084,1792,0,19910,2,75,0.9998894172287958,0.9081960626757734,0.9998999349577226,0.9518395705037106,0.9541341888267877,18084,2,19985,1828
29,11,SAFARI,None,125,0.2,18085,36,18085,1791,0,19910,3,74,0.9998341441839894,0.9082462836480514,0.9998499024365838,0.9518421052631578,0.9541341888267877,18085,3,19984,1827
29,11,vg giraffe,None,125,0.35,31749,61,31749,3202,0,35010,4,134,0.9998740276509306,0.9068033816977037,0.9998861955161034,0.9510671759155246,0.9534350057012543,31749,4,35144,3263
29,11,SAFARI,None,125,0.35,31753,61,31753,3198,0,35010,7,131,0.99977959697733,0.9069176282417457,0.9998008421531809,0.951087282094291,0.9534492588369441,31753,7,35141,3259
29,11,vg giraffe,None,125,0.3,27107,55,27107,2725,0,29885,4,119,0.9998524584117148,0.9069829691839261,0.9998667022127433,0.9511561809186287,0.9535186576508891,27107,4,30004,2780
