k,w,tool,damage_level,read_length,subsampling_rate,mito_correct,mito_incorrect,mito_mapped,mito_unmapped,bacteria_mapped,bacteria_unmapped,numt_mapped,numt_unmapped,precision,sensitivity,specificity,f1,accuracy,TP,FP,TN,FN
12,7,SAFARI,High,125,0.45,44755,62,44755,378,2,45253,33,183,0.9992185755749051,0.9902644097798429,0.9992302786391326,0.9947213424459632,0.9947609908896389,44755,35,45436,440
12,7,vg vg giraffe,High,125,0.4,39274,57,39274,667,2,40040,21,175,0.9994147135913684,0.9818990949547477,0.9994284010139669,0.9905794816823256,0.9906899646044169,39274,23,40215,724
12,7,SAFARI,High,125,0.4,39609,57,39609,332,2,40040,26,170,0.9992935893231072,0.9902745137256863,0.9993041403648293,0.994763608965907,0.9948028316466424,39609,28,40210,389
12,7,vg vg giraffe,High,125,0.55,54237,83,54237,942,2,55336,33,219,0.9993551002358491,0.9814519923274583,0.999370390357978,0.990322639545712,0.9904377007180746,54237,35,55555,1025
12,7,SAFARI,High,125,0.55,54714,83,54714,465,2,55336,42,210,0.9991964644435516,0.9900836017516558,0.9992084907357438,0.9946191601526994,0.9946595460614153,54714,44,55546,548
12,7,vg vg giraffe,High,125,0.5,49384,73,49384,857,2,50379,33,203,0.9992917703717193,0.981516079023731,0.999308532706403,0.9903241655219435,0.9904390127909166,49384,35,50582,930
12,7,SAFARI,High,125,0.5,49823,73,49823,418,2,50379,41,195,0.9991376890065375,0.9902412847318838,0.9991504830392951,0.9946695947294869,0.994709256819015,49823,43,50574,491
12,7,vg vg giraffe,High,125,0.65,64154,98,64154,1115,2,65460,37,257,0.999392457121493,0.9814432358835498,0.9994068982298193,0.9903365236184007,0.9904517132768469,64154,39,65717,1213
12,7,SAFARI,High,125,0.65,64709,98,64709,560,3,65459,46,248,0.999243336730597,0.9899337586243824,0.9992548208528499,0.994566762728146,0.9946081160437147,64709,49,65707,658
12,7,vg vg giraffe,High,125,0.6,59177,90,59177,1016,2,60356,34,239,0.9993920253998277,0.9816532023953685,0.999406244330458,0.9904431947512887,0.9905552706882578,59177,36,60595,1106
12,7,SAFARI,High,125,0.6,59692,90,59692,501,2,60356,43,230,0.9992466980263488,0.9901962410629862,0.9992578054130725,0.9947008831861356,0.9947400631854045,59692,45,60586,591
12,7,vg vg giraffe,High,125,0.75,73905,114,73905,1276,2,75411,44,293,0.9993779664913254,0.9815392788365761,0.9993927392739274,0.9903783015960227,0.9904928994670462,73905,46,75704,1390
12,7,SAFARI,High,125,0.75,74535,114,74535,646,3,75410,54,283,0.999235842985843,0.9899063682847467,0.9992475247524752,0.9945492270844036,0.9945910159224073,74535,57,75693,760
12,7,vg vg giraffe,High,125,0.7,69076,105,69076,1192,2,70487,41,272,0.9993778845180051,0.9815696360820201,0.999392672523375,0.9903937143348722,0.9905082344607756,69076,43,70759,1297
12,7,SAFARI,High,125,0.7,69663,105,69663,605,3,70486,50,263,0.9992397727924723,0.9899109033294019,0.9992514335753228,0.9945534624417335,0.9945953603683372,69663,53,70749,710
12,7,vg vg giraffe,High,125,0.85,83603,123,83603,1433,3,85284,46,335,0.9994142399464448,0.9817282964807008,0.9994280244665452,0.990492325737067,0.990604529728907,83603,49,85619,1556
12,7,SAFARI,High,125,0.85,84296,123,84296,740,4,85283,58,323,0.999265037103772,0.9898660153360185,0.9992762758556287,0.9945433201389832,0.9945851651085601,84296,62,85606,863
12,7,vg vg giraffe,High,125,0.8,78697,120,78697,1350,3,80294,45,315,0.9993904374880945,0.9816632779073684,0.9994048873625352,0.9904475432944019,0.9905611102820474,78697,48,80609,1470
12,7,SAFARI,High,125,0.8,79356,120,79356,691,4,80293,57,303,0.9992319024893914,0.9898836179475345,0.9992437110232217,0.9945357930619612,0.9945779236929811,79356,61,80596,811
12,7,vg vg giraffe,High,125,0.95,93323,138,93323,1606,3,95212,55,361,0.9993788886390165,0.981655043285262,0.9993935021070574,0.9904376804211241,0.990550503938164,93323,58,95573,1744
12,7,SAFARI,High,125,0.95,94098,138,94098,831,4,95211,67,349,0.9992460363813994,0.9898071886143457,0.9992575629241564,0.9945042169566045,0.994546350774523,94098,71,95560,969
12,7,vg vg giraffe,High,125,0.9,88444,131,88444,1518,3,90232,48,348,0.9994236962540256,0.9816966911968743,0.9994372786353455,0.9904808833740228,0.9905933910272017,88444,51,90580,1649
12,7,SAFARI,High,125,0.9,89180,131,89180,782,4,90231,60,336,0.9992828649545068,0.9898660273273173,0.9992938398561199,0.9945521559968106,0.9945939664903388,89180,64,90567,913
12,7,vg vg giraffe,Mid,125,0.15,14922,22,14922,3,2,14954,8,56,0.9993302973479775,0.9983274235632569,0.9993342210386151,0.9988286087218448,0.9988320485867788,14922,10,15010,25
12,7,SAFARI,Mid,125,0.15,14924,22,14924,1,2,14954,10,54,0.999196572040707,0.9984612296781963,0.9992010652463382,0.9988287655188569,0.9988320485867788,14924,12,15008,23
12,7,vg vg giraffe,Mid,125,0.1,9990,15,9990,2,0,10014,6,33,0.9993997599039616,0.9983011891675827,0.9994031632348552,0.9988501724741289,0.9988534396809571,9990,6,10047,17
12,7,SAFARI,Mid,125,0.1,9992,15,9992,0,0,10014,8,31,0.9992,0.9985010492655142,0.9992042176464737,0.9988504023591743,0.9988534396809571,9992,8,10045,15
12,7,vg vg giraffe,Mid,125,0.25,24928,38,24928,6,3,24983,17,104,0.9991983325316659,0.9982380265897806,0.9992034094077349,0.9987179487179487,0.9987220192096488,24928,20,25087,44
12,7,SAFARI,Mid,125,0.25,24930,38,24930,4,3,24983,19,102,0.9991183071497275,0.998318116290245,0.9991237503485084,0.9987180514381861,0.9987220192096488,24930,22,25085,42
12,7,vg vg giraffe,Mid,125,0.2,19870,29,19870,3,2,19908,10,80,0.9993964389900413,0.9983921213948347,0.9994,0.9988940277498493,0.9988972983810336,19870,12,19988,32
12,7,SAFARI,Mid,125,0.2,19872,29,19872,1,2,19908,12,78,0.9992959871266217,0.9984926138076575,0.9993,0.9988941389363628,0.9988972983810336,19872,14,19986,30
12,7,vg vg giraffe,Mid,125,0.35,34918,53,34918,6,4,35006,24,151,0.9991987638070166,0.9983131772307516,0.9992042063379281,0.9987557742087725,0.9987600125424019,34918,28,35157,59
12,7,SAFARI,Mid,125,0.35,34920,53,34920,4,4,35006,29,146,0.9990558750321861,0.9983703576636075,0.9990621003268438,0.9987129987129986,0.9987172543542089,34920,33,35152,57
12,7,vg vg giraffe,Mid,125,0.3,29805,45,29805,6,3,29882,21,134,0.9991954138589962,0.9982918006430869,0.9992010652463382,0.9987434028650414,0.9987478295712569,29805,24,30016,51
12,7,SAFARI,Mid,125,0.3,29807,45,29807,4,3,29882,24,131,0.9990949922906751,0.9983587888531619,0.9991011984021305,0.9987267549003185,0.9987311339655403,29807,27,30013,49
12,7,vg vg giraffe,Mid,125,0.45,45119,69,45119,7,5,45252,37,179,0.9990699940213902,0.9983183980528819,0.9990763749917534,0.998694054628359,0.9986985485507566,45119,42,45431,76
12,7,SAFARI,Mid,125,0.45,45121,69,45121,5,5,45252,43,173,0.9989373242710708,0.9983626507357009,0.9989444285620038,0.9986499048293568,0.9986544315524771,45121,48,45425,74
12,7,vg vg giraffe,Mid,125,0.4,39930,62,39930,6,5,40037,31,165,0.9990992343491968,0.9982999149957498,0.999105323326209,0.9986994147366315,0.998703823720026,39930,36,40202,68
12,7,SAFARI,Mid,125,0.4,39932,62,39932,4,5,40037,36,160,0.9989743076576689,0.9983499174958748,0.9989810626770714,0.9986620149804304,0.9986664340196421,39932,41,40197,66
