k,w,tool,damage_level,read_length,subsampling_rate,mito_correct,mito_incorrect,mito_mapped,mito_unmapped,bacteria_mapped,bacteria_unmapped,numt_mapped,numt_unmapped,precision,sensitivity,specificity,f1,accuracy,TP,FP,TN,FN
10,10,giraffe,High,125,0.7,208730,423,208730,1558,6,70483,57,240,0.999698265746457,0.9905984974680961,0.9991099935015398,0.9951275792364316,0.9927388213728743,208730,63,70723,1981
10,10,safari,High,125,0.7,208848,423,208848,1440,7,70482,57,240,0.9996936509152179,0.9911585062004357,0.9990958664142627,0.9954077827001856,0.9931544563529985,208848,64,70722,1863
10,10,giraffe,High,125,0.85,253251,518,253251,1877,6,85281,74,299,0.9996842076177017,0.9906315764768469,0.9990660751809479,0.9951373048290983,0.9927484427463918,253251,80,85580,2395
10,10,safari,High,125,0.85,253394,518,253394,1734,7,85280,74,299,0.9996804418581714,0.9911909437268723,0.9990544011207098,0.9954175922815991,0.993164491687811,253394,81,85579,2252
10,10,giraffe,High,125,0.8,238227,481,238227,1766,6,80291,65,279,0.9997020537310426,0.9906559544898825,0.9991195545690158,0.9951584470269774,0.9927814023013563,238227,71,80570,2247
10,10,safari,High,125,0.8,238361,481,238361,1632,7,80290,65,279,0.9996980283769444,0.9912131872884387,0.9991071539291427,0.9954375275366617,0.9931955841365243,238361,72,80569,2113
10,10,giraffe,High,125,0.95,282883,591,282883,2112,6,95209,78,327,0.999703145596483,0.990535250327397,0.9991215226939971,0.9950980823247788,0.992688992303374,282883,84,95536,2703
10,10,safari,High,125,0.95,283046,591,283046,1949,8,95207,78,327,0.9996962547504344,0.991106006596962,0.9991006065676636,0.9953825973505322,0.9931113361279728,283046,86,95534,2540
10,10,giraffe,High,125,0.9,267990,559,267990,1996,6,90229,77,313,0.9996903828434792,0.9905560997246299,0.9990841379310345,0.9951022802802729,0.9926959603510812,267990,83,90542,2555
10,10,safari,High,125,0.9,268141,559,268141,1845,7,90228,77,313,0.9996868300866809,0.991114232382783,0.9990731034482758,0.9953820739833324,0.9931112772378659,268141,84,90541,2404
10,10,giraffe,Mid,125,0.15,44871,86,44871,2,2,14954,15,52,0.9996212796292996,0.9980426610912164,0.9988684017839313,0.9988313466225918,0.9982494748424527,44871,17,15006,88
10,10,safari,Mid,125,0.15,44871,86,44871,2,2,14954,15,52,0.9996212796292996,0.9980426610912164,0.9988684017839313,0.9988313466225918,0.9982494748424527,44871,17,15006,88
10,10,giraffe,Mid,125,0.1,29890,61,29890,2,0,10014,13,33,0.999565261010601,0.9978967048375789,0.9987077534791252,0.9987302860197808,0.9981006172993777,29890,13,10047,63
10,10,safari,Mid,125,0.1,29890,61,29890,2,0,10014,13,33,0.999565261010601,0.9978967048375789,0.9987077534791252,0.9987302860197808,0.9981006172993777,29890,13,10047,63
10,10,giraffe,Mid,125,0.25,74844,150,74844,3,4,24982,27,86,0.9995859766277129,0.9979599183967359,0.9987648910315152,0.9987722856837834,0.9981617647058824,74844,31,25068,153
10,10,safari,Mid,125,0.25,74844,150,74844,3,4,24982,27,86,0.9995859766277129,0.9979599183967359,0.9987648910315152,0.9987722856837834,0.9981617647058824,74844,31,25068,153
10,10,giraffe,Mid,125,0.2,59873,114,59873,3,2,19908,20,71,0.9996326905417815,0.9980496749458243,0.9989000549972501,0.9988405555323854,0.9982623045092572,59873,22,19979,117
10,10,safari,Mid,125,0.2,59873,114,59873,3,2,19908,20,71,0.9996326905417815,0.9980496749458243,0.9989000549972501,0.9988405555323854,0.9982623045092572,59873,22,19979,117
