k,w,tool,damage_level,read_length,subsampling_rate,mito_correct,mito_incorrect,mito_mapped,mito_unmapped,bacteria_mapped,bacteria_unmapped,numt_mapped,numt_unmapped,precision,sensitivity,specificity,f1,accuracy,TP,FP,TN,FN
15,15,SAFARI,Mid,125,0.9,266597,415,266597,3156,1,90234,40,322,0.999846233470098,0.9867822984217228,0.9995474463834343,0.993271312168642,0.9899879422893019,266597,41,90556,3571
15,15,vg giraffe,None,125,0.15,44802,72,44802,26,0,14958,8,50,0.9998214684222272,0.9978173719376392,0.9994672349493873,0.9988184148924312,0.9982308565324788,44802,8,15008,98
15,15,SAFARI,None,125,0.15,44802,72,44802,26,0,14958,8,50,0.9998214684222272,0.9978173719376392,0.9994672349493873,0.9988184148924312,0.9982308565324788,44802,8,15008,98
15,15,vg giraffe,None,125,0.1,29860,46,29860,19,0,10014,5,32,0.9998325799430772,0.997827903091061,0.9995025370609889,0.9988292356581367,0.9982489493696217,29860,5,10046,65
15,15,SAFARI,None,125,0.1,29860,46,29860,19,0,10014,5,32,0.9998325799430772,0.997827903091061,0.9995025370609889,0.9988292356581367,0.9982489493696217,29860,5,10046,65
15,15,vg giraffe,None,125,0.25,74723,111,74723,49,0,24988,17,97,0.9997725448220498,0.997863333466875,0.9993227631264441,0.998817026794009,0.998229734460169,74723,17,25085,160
15,15,SAFARI,None,125,0.25,74723,111,74723,49,0,24988,17,97,0.9997725448220498,0.997863333466875,0.9993227631264441,0.998817026794009,0.998229734460169,74723,17,25085,160
15,15,vg giraffe,None,125,0.2,59776,91,59776,36,0,19912,12,70,0.9997992908275908,0.9978799058477873,0.9993998199459838,0.9988386762580311,0.9982602600848592,59776,12,19982,127
15,15,SAFARI,None,125,0.2,59776,91,59776,36,0,19912,12,70,0.9997992908275908,0.9978799058477873,0.9993998199459838,0.9988386762580311,0.9982602600848592,59776,12,19982,127
15,15,vg giraffe,None,125,0.35,104564,154,104564,68,0,35012,20,129,0.9998087661592595,0.997881396369744,0.9994311879639373,0.9988441515021255,0.9982707739358472,104564,20,35141,222
15,15,SAFARI,None,125,0.35,104564,154,104564,68,0,35012,20,129,0.9998087661592595,0.997881396369744,0.9994311879639373,0.9988441515021255,0.9982707739358472,104564,20,35141,222
15,15,vg giraffe,None,125,0.3,89465,132,89465,60,0,29887,19,116,0.9997876715390461,0.9978585051920096,0.9993671307707681,0.998822156848516,0.998236950509279,89465,19,30003,192
15,15,SAFARI,None,125,0.3,89465,132,89465,60,0,29887,19,116,0.9997876715390461,0.9978585051920096,0.9993671307707681,0.998822156848516,0.998236950509279,89465,19,30003,192
15,15,vg giraffe,None,125,0.45,134852,204,134852,87,0,45257,25,170,0.9998146459366682,0.9978467253205864,0.9994499691982751,0.9988297163173098,0.9982502284116394,134852,25,45427,291
15,15,SAFARI,None,125,0.45,134852,204,134852,87,0,45257,25,170,0.9998146459366682,0.9978467253205864,0.9994499691982751,0.9988297163173098,0.9982502284116394,134852,25,45427,291
15,15,vg giraffe,None,125,0.4,119514,178,119514,80,0,40044,23,144,0.9998075909551017,0.9978459072237251,0.9994280172092214,0.9988257859085952,0.998243563378609,119514,23,40188,258
15,15,SAFARI,None,125,0.4,119514,178,119514,80,0,40044,23,144,0.9998075909551017,0.9978459072237251,0.9994280172092214,0.9988257859085952,0.998243563378609,119514,23,40188,258
15,15,vg giraffe,None,125,0.55,164851,250,164851,102,0,55340,30,196,0.9998180505940648,0.9978692880879887,0.9994601015009178,0.9988427188230874,0.9982696846024578,164851,30,55536,352
15,15,SAFARI,None,125,0.55,164851,250,164851,102,0,55340,30,196,0.9998180505940648,0.9978692880879887,0.9994601015009178,0.9988427188230874,0.9982696846024578,164851,30,55536,352
15,15,vg giraffe,None,125,0.5,149934,229,149934,96,0,50383,28,180,0.9998132860324616,0.9978370679959271,0.999446541875037,0.9988241995063637,0.9982424695046054,149934,28,50563,325
15,15,SAFARI,None,125,0.5,149934,229,149934,96,0,50383,28,180,0.9998132860324616,0.9978370679959271,0.999446541875037,0.9988241995063637,0.9982424695046054,149934,28,50563,325
15,15,vg giraffe,None,125,0.65,195008,302,195008,117,0,65464,34,237,0.9998256785717948,0.997855976912095,0.9994827717349966,0.9988398566851658,0.9982654444367863,195008,34,65701,419
15,15,SAFARI,None,125,0.65,195008,302,195008,117,0,65464,34,237,0.9998256785717948,0.997855976912095,0.9994827717349966,0.9988398566851658,0.9982654444367863,195008,34,65701,419
15,15,vg giraffe,None,125,0.6,179915,279,179915,113,0,60360,31,218,0.9998277260956064,0.9978259302190153,0.9994885248065469,0.9988258251839679,0.9982442012983779,179915,31,60578,392
15,15,SAFARI,None,125,0.6,179915,279,179915,113,0,60360,31,218,0.9998277260956064,0.9978259302190153,0.9994885248065469,0.9988258251839679,0.9982442012983779,179915,31,60578,392
15,15,vg giraffe,None,125,0.75,224786,349,224786,137,0,75415,37,270,0.9998354260907469,0.9978426080471607,0.9995113705396054,0.9988380230840156,0.9982624238356911,224786,37,75685,486
15,15,SAFARI,None,125,0.75,224786,349,224786,137,0,75415,37,270,0.9998354260907469,0.9978426080471607,0.9995113705396054,0.9988380230840156,0.9982624238356911,224786,37,75685,486
15,15,vg giraffe,None,125,0.7,209981,322,209981,126,0,70491,36,259,0.9998285853049991,0.9978710158770892,0.9994914248580228,0.9988488414683455,0.9982788969293956,209981,36,70750,448
15,15,SAFARI,None,125,0.7,209981,322,209981,126,0,70491,36,259,0.9998285853049991,0.9978710158770892,0.9994914248580228,0.9988488414683455,0.9982788969293956,209981,36,70750,448
15,15,vg giraffe,None,125,0.85,254734,402,254734,159,1,85290,44,300,0.9998233763379243,0.9978025421571124,0.999474513925381,0.9988119370914809,0.9982225090194468,254734,45,85590,561
15,15,SAFARI,None,125,0.85,254734,402,254734,159,1,85290,44,300,0.9998233763379243,0.9978025421571124,0.999474513925381,0.9988119370914809,0.9982225090194468,254734,45,85590,561
15,15,vg giraffe,None,125,0.8,239617,376,239617,154,0,80299,43,287,0.9998205791538012,0.9977930184428704,0.9994666931253023,0.9988057698199484,0.9982137067611043,239617,43,80586,530
15,15,SAFARI,None,125,0.8,239617,376,239617,154,0,80299,43,287,0.9998205791538012,0.9977930184428704,0.9994666931253023,0.9988057698199484,0.9982137067611043,239617,43,80586,530
15,15,vg giraffe,None,125,0.95,284542,453,284542,179,1,95217,50,329,0.9998207967167148,0.9977838091831653,0.9994665104553491,0.9988012643764907,0.9982062709607612,284542,51,95546,632
15,15,SAFARI,None,125,0.95,284542,453,284542,179,1,95217,50,329,0.9998207967167148,0.9977838091831653,0.9994665104553491,0.9988012643764907,0.9982062709607612,284542,51,95546,632
15,15,vg giraffe,None,125,0.9,269573,432,269573,168,1,90237,46,314,0.9998256805874935,0.9977792007343443,0.9994812247510982,0.9988013923855997,0.9982066186029365,269573,47,90551,600
15,15,SAFARI,None,125,0.9,269573,432,269573,168,1,90237,46,314,0.9998256805874935,0.9977792007343443,0.9994812247510982,0.9988013923855997,0.9982066186029365,269573,47,90551,600
15,15,vg giraffe,Single-stranded,125,0.15,44734,66,44734,100,0,14958,6,51,0.999865891819401,0.9963028953229399,0.9996003996003996,0.9980812137438643,0.9971292664608195,44734,6,15009,166
15,15,SAFARI,Single-stranded,125,0.15,44734,66,44734,100,0,14958,6,51,0.999865891819401,0.9963028953229399,0.9996003996003996,0.9980812137438643,0.9971292664608195,44734,6,15009,166
15,15,vg giraffe,Single-stranded,125,0.1,29813,41,29813,71,0,10014,3,27,0.9998993828816742,0.9962573099415205,0.9997013142174432,0.9980750238529652,0.9971227701468638,29813,3,10041,112
15,15,SAFARI,Single-stranded,125,0.1,29813,41,29813,71,0,10014,3,27,0.9998993828816742,0.9962573099415205,0.9997013142174432,0.9980750238529652,0.9971227701468638,29813,3,10041,112
15,15,vg giraffe,Single-stranded,125,0.25,74599,121,74599,162,0,24987,15,95,0.9997989653416249,0.9962207206004113,0.9994023190022712,0.998006635629047,0.9970193740685543,74599,15,25082,283
15,15,SAFARI,Single-stranded,125,0.25,74599,121,74599,162,0,24987,15,95,0.9997989653416249,0.9962207206004113,0.9994023190022712,0.998006635629047,0.9970193740685543,74599,15,25082,283
15,15,vg giraffe,Single-stranded,125,0.2,59669,98,59669,136,0,19911,11,65,0.9998156836461126,0.9960936847904112,0.9994496422674739,0.9979512138012929,0.9969332832644887,59669,11,19976,234
